follower_id,following_id,follow_date
1687,2938,2024-12-18
3869,640,2024-11-19
4142,341,2024-02-19
4288,2347,2024-12-10
1468,1438,2024-07-09
2815,4792,2025-04-26
1289,4815,2024-10-17
1717,670,2025-06-16
992,3819,2024-04-13
4112,1998,2024-03-22
4678,2797,2024-03-05
3378,1766,2023-08-13
2793,2131,2023-12-03
3662,3620,2023-07-20
4300,2225,2025-06-23
3410,1108,2023-11-27
2359,1596,2023-10-12
2390,4902,2024-01-19
104,1734,2025-03-11
156,2584,2024-04-17
4675,4807,2024-10-23
1994,2728,2025-04-19
3667,3145,2024-02-14
787,1749,2024-02-06
4276,1240,2024-05-06
3507,1996,2024-10-28
4825,3497,2024-12-02
208,2945,2024-10-30
4943,91,2025-05-27
4925,612,2024-07-11
1405,1664,2024-02-07
3745,1274,2025-01-19
4115,550,2025-03-09
4272,3424,2023-10-13
1013,4830,2025-06-13
3136,2276,2023-12-12
1490,4452,2023-11-07
1371,337,2024-09-21
1646,1556,2024-09-28
1055,873,2023-08-02
2992,2014,2025-06-03
1999,4737,2024-05-13
2851,4863,2024-08-05
2141,289,2025-01-13
2184,3961,2023-07-08
3574,667,2023-09-26
2710,3368,2025-04-12
765,978,2024-10-04
1029,2263,2024-08-09
4457,1049,2025-02-14
2441,14,2023-11-14
1650,739,2023-08-16
76,2653,2025-06-14
2515,3865,2025-06-23
4420,1526,2024-04-03
788,477,2025-05-28
4567,2472,2024-06-26
439,2037,2023-09-29
740,2514,2024-12-24
2931,1664,2024-03-13
1910,1477,2023-12-13
180,4707,2024-09-25
716,17,2024-12-12
1395,1227,2023-09-27
2466,399,2025-02-19
2522,4990,2025-06-23
3488,415,2024-03-27
4306,3599,2023-09-13
2501,3550,2024-06-10
3885,629,2024-02-02
2657,2777,2023-08-14
1710,2687,2025-02-03
2635,2323,2023-08-30
2263,4337,2024-09-26
3193,3947,2023-12-09
4677,1742,2024-11-16
873,3253,2024-02-03
4974,3648,2024-06-20
2021,3650,2025-05-04
2649,4297,2025-06-04
1744,2609,2024-06-10
700,361,2025-06-09
4150,173,2025-01-08
337,3809,2023-08-12
1822,4872,2023-10-03
311,2705,2025-01-02
2906,1626,2024-02-02
4380,4455,2023-07-09
1321,2413,2024-03-02
2414,2847,2023-10-03
2796,243,2023-12-30
3116,4654,2025-02-07
849,3584,2024-09-29
2667,411,2023-09-02
250,3119,2025-02-25
3284,1713,2024-08-03
1393,2846,2024-05-24
2516,3823,2024-11-27
4728,2603,2023-10-18
1236,1887,2023-08-22
161,3079,2025-06-06
2157,3036,2024-06-24
2096,1744,2024-11-11
320,2552,2024-10-03
1994,2203,2024-05-25
3679,2399,2025-05-20
2993,3825,2024-01-15
90,3577,2024-06-13
3106,3307,2025-02-19
2744,3853,2023-12-10
4083,4823,2024-03-08
1937,3964,2024-11-19
4020,3898,2024-02-08
4128,4685,2024-11-23
3715,3079,2023-12-27
2191,3230,2024-12-03
1847,2873,2025-03-19
1567,2385,2025-04-17
3530,3063,2024-03-04
4665,2081,2024-10-23
1240,3668,2024-12-28
282,4864,2024-11-07
3191,4990,2023-09-20
1503,3223,2024-03-28
4669,4614,2023-09-05
2970,3724,2024-08-07
218,4099,2024-07-09
773,3769,2023-10-27
1957,4787,2025-04-13
1441,2253,2024-12-04
3549,571,2023-10-07
147,2449,2023-11-13
2880,4240,2025-06-25
4431,4392,2024-11-06
3575,110,2023-08-09
2456,4217,2024-02-14
4897,4499,2024-08-13
1524,3805,2025-03-18
1356,1235,2024-02-05
2183,1685,2025-01-17
4535,2806,2024-08-17
2814,4442,2023-07-03
1054,2014,2025-04-01
4677,1057,2024-08-31
1061,4,2024-02-21
4158,1805,2024-12-08
1360,2434,2024-04-18
1053,4864,2023-09-21
1152,2961,2023-07-10
3941,1374,2023-09-03
1403,438,2025-02-08
4120,3167,2023-07-20
4203,691,2024-01-13
4771,2356,2024-11-18
2617,4603,2025-04-19
179,759,2025-06-12
4205,416,2025-04-11
730,2256,2024-04-29
1688,4699,2024-12-15
4729,4772,2024-01-20
3002,2605,2024-08-10
3366,3160,2023-11-03
4924,4809,2024-01-23
4383,979,2024-06-09
3736,2780,2024-09-07
3762,4642,2025-06-07
1323,1556,2024-09-12
2294,3564,2024-07-30
596,2764,2024-06-03
1106,1760,2025-02-17
4607,2114,2025-01-25
2906,2071,2023-10-28
4738,4074,2024-11-16
895,3302,2025-02-26
3499,4305,2023-07-10
4224,3036,2024-12-23
2513,3822,2024-08-27
3392,4368,2023-11-17
4488,1161,2024-01-11
1214,2151,2024-08-03
533,485,2024-05-14
2896,4195,2023-07-28
3599,1078,2024-05-02
2780,166,2024-05-15
53,1561,2024-12-21
2056,1689,2023-07-04
1458,2687,2024-08-17
4827,2366,2025-01-11
2582,1850,2025-05-11
4868,3650,2024-11-03
3783,3286,2024-09-30
1230,3968,2024-11-11
2245,1127,2024-07-01
3065,2090,2025-01-04
3344,1898,2023-08-02
1309,577,2023-11-02
3849,4954,2024-11-11
4401,1358,2024-03-11
618,1911,2024-08-22
1695,4634,2024-06-25
2736,3272,2023-07-13
4364,725,2023-11-22
1949,1898,2024-04-10
3332,112,2023-12-29
805,2645,2025-01-15
3553,2726,2024-08-16
3051,1260,2025-02-18
2828,4103,2024-01-10
4460,2183,2023-09-27
1262,2411,2024-12-09
1088,4115,2024-01-10
3896,2209,2025-03-28
241,1621,2025-02-08
4055,4799,2023-10-09
2396,1213,2024-02-23
4729,2106,2023-08-21
375,2365,2024-07-30
3110,1902,2023-07-05
719,2604,2024-03-20
2959,309,2024-02-01
1686,4441,2023-11-10
4837,3765,2024-01-31
2774,2151,2024-08-29
4525,446,2025-05-06
3375,1802,2023-11-01
4828,1597,2024-03-09
4046,482,2023-09-05
4642,1270,2023-12-26
2267,4068,2023-12-27
625,670,2025-03-22
2585,4994,2025-02-26
1290,4640,2024-08-19
773,4828,2025-04-26
1688,798,2025-04-26
3244,1974,2024-09-13
3153,3234,2024-12-05
2091,3335,2023-06-30
242,1170,2025-05-06
3769,3433,2023-11-30
3931,3243,2025-01-21
2474,1138,2023-07-18
4270,4065,2025-06-17
3508,4673,2024-11-22
2767,3066,2024-01-26
250,3615,2024-04-20
4983,3335,2025-01-28
3162,2017,2025-02-15
4031,3683,2023-10-03
1710,918,2024-10-27
1939,506,2025-03-23
2670,4144,2025-05-02
1595,246,2024-04-30
4644,4459,2024-05-21
1834,838,2025-06-09
2095,2938,2024-10-31
3294,489,2024-06-04
3001,3970,2025-01-23
28,1926,2024-07-02
2716,4498,2024-03-31
2978,2780,2024-09-26
3209,3974,2023-07-27
3634,885,2023-10-19
4280,458,2023-07-29
4132,2215,2024-08-14
4388,3411,2024-05-30
1806,2954,2025-05-26
2573,4910,2023-08-07
1636,2766,2025-06-17
1943,1580,2023-08-08
